Company,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,Unnamed: 21
Lumen5,105000.0,"Creative Destruction Lab (CDL), NEXT Canada, New Ventures BC",,https://lumen5.com/," Lumen5 is a video creation platform designed to help businesses and individuals create engaging, high-quality videos for social media and marketing purposes using AI technology.",Video,"Text to Video, Video creation/editing",Applications (Vertical),,,,,2016.0,North America (excl. US),,,,,,,
Lyne.ai,,,,https://lyne.ai/," Lyne.ai simplifies financial reporting by automating data extraction and analysis from financial documents using AI, saving time and reducing errors.",Text,Data products / sales outreach,Applications (Vertical),,,,,2020.0,Other US,,,,,,,
Madgicx,14530000.0,,,https://madgicx.com/,"Madgicx is an AI-powered omnichannel advertising platform that optimises ad performance across multiple channels like Facebook, Google, and more.",Text,Ad Performance,Applications (Horizontal),,,,,2018.0,Israel,,,,,,,
Maestra,,,,https://maestrasuite.com/," Maestra
 Maestra provides an automated transcription, captioning, and voiceover tool to convert text into multiple languages. Ideal for enhancing accessibility of online content.",Audio,Voice transcription,Applications (Horizontal),,,,,2018.0,"New York, NY",,,,,,,
Mage.space,,,,https://www.mage.space/," Mage.space offers a generative AI platform that allows users to create, train, and manage AI models for various applications like gaming, e-commerce, and more.",Image,Art generation,AI Development & Tools,,,,,2019.0,"New York, NY",,,,,,,
Magic Copy,,,,https://magic-copy.com/," Magic Copy
 Magic Copy is an AI-powered tool that assists in generating creative and engaging marketing copy for businesses and individuals.",Text,Marketing content creation,Applications (Vertical),,,,,2023.0,Unknown,,,,,,,
MagicEducator,0.0,,3.0,www.magiceducator.com,"* Lesson planning simplified.
- Brainstorm, find curated content and teach your lesson with an all-in-one platform.",Vertical,,Applications (Vertical),Text,General Writing & Editing,Education,Yes,,,,,,,,,
Magnifi,60880000.0,"Inflection Point Ventures, Venture Catalysts, Google for Startups, 9Unicorns Accelerator Fund, SOSV",,https://magnifi.ai/," Magnifi
 Magnifi provides an AI-driven knowledge sharing platform, connecting experts with those seeking advice through paid video and voice calls.",Video,Video editing / insights,Applications (Vertical),,,,,2017.0,APAC,,,,,,,
Maker AI,36360000.0,"Bossanova Investimentos, Rocket Internet, Y Combinator, HubSpot, Garage Capital",,https://maker.ai/," Maker AI is a creative platform that uses AI to generate unique, custom-made digital designs and content for businesses and individuals.",Text,Free AI on-demand content writing,Applications (Vertical),,,,,2018.0,North America (excl. US),,,,,,,
Maket,120000.0,"Techstars, Edward Lando, Pareto Holdings, Nadav Ben-Chanoch, Front Row Ventures",,https://www.maket.ai/," Maket
 Maket is an AI company that automates the design process for digital products, making it faster and more efficient for businesses.",Image,Architecture planning,Applications (Vertical),,,,,2019.0,North America (excl. US),,,,,,,
Mana,2050595.0,"Goodwater Capital, Global Founders Capital, Flash Ventures",,http://withmana.com/," Mana provides an AI-powered platform for creating, managing and deploying digital humans, enabling businesses to automate and personalize customer interactions.",Chatbot/Conversational AI,AI back office,Applications (Vertical),,,,,2020.0,"London, UK",,,,,,,
ManageBetter,0.0,No Data,,https://managebetter.com,"* One employee, one goal, one piece of feedback — in real time. 
- Management made easy. Our products help managers grow productive teams through personalized action plans, relevant career goals, and actionable feedback. ",HR,,Applications (Vertical),Text,,Human Resources,Yes,,,,,,,,,
Mantium,14500000000000.0,"Drive Capital,Top Harvest Capital",33.0,www.mantiumai.com,"* Build AI applications in minutes and manage them at scale.
- Use state of the art language models to build AI applications and automations, and manage them in our low-code cloud platform.","MLOps, Infra, & DevTools",,AI Development & Tools,General / Multi-Modal,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Mark,,,,https://www.markcopy.ai/," Mark
 Mark is an AI-powered writing assistant that helps create high-quality content for blogs, ads, social media, and websites.",Text,Content creation,Applications (Vertical),,,,,2021.0,Europe,,,,,,,
MarketMuse,9238000.0,"Creative Destruction Lab (CDL), Silicon Valley Bank, Panache Ventures, Riverside Company, Colle Capital Partners",,https://www.marketmuse.com/," MarketMuse is an AI-driven platform for content strategists that uses machine learning to help create high-quality, SEO-friendly content.",Text,Content creation,Applications (Vertical),,,,,2015.0,Other US,,,,,,,
Marqo,0.0,,6.0,www.marqo.ai,"* Search the way you think.
- An open-source tensor search framework that seamlessly integrates with your applications, websites, and workflows.",Vector Search,,AI Development & Tools,Text,Search,General,Yes,,,,,,,,,
Masterpiece Studio,6000000.0,"Boost VC, Panache Ventures, Capital Angel Network, ideaBOOST",,https://masterpiecestudio.com/," Masterpiece Studio
 They provide an AI-powered platform that enables artists to create 3D content and animations easily and quickly.",Game,3D model generation / editing,Applications (Vertical),,,,,2016.0,North America (excl. US),,,,,,,
Matroid,33500000.0,"Intel Capital, New Enterprise Associates, Energize Ventures",,https://www.matroid.com/, Matroid is a computer vision platform that allows users to create and monitor detectors to find visual objects of interest.,MLOps/Platform,Computer vision,Applications (Vertical),,,,,2016.0,SF Bay Area,,,,,,,
Mavenoid,39900000.0,"Creandum, Jeremy Yap, Mosaic Ventures, ABB Technology Ventures, Andreas Ehn",,https://www.mavenoid.com/en/," Mavenoid is a platform that provides automated tech support for product troubleshooting, reducing the need for human assistance.",Chatbot/Conversational AI,Contact Center (Hardware),Applications (Horizontal),,,,,2017.0,Europe,,,,,,,
Maverick,2700000.0,Nick Raushenbush,,https://www.trymaverick.com/," Maverick
 Maverick is an AI-powered platform that helps in creating, testing, and optimizing Facebook ad campaigns, improving marketing efficiency and ROI.",Video,Personalized videos for e-commerce,Applications (Vertical),,,,,2021.0,SF Bay Area,,,,,,,
Maya,500000.0,Y Combinator,,https://mayalabs.io/," Maya
 Maya provides AI-based solutions to create, manage and analyze 3D data, transforming it into actionable insights for industries like construction, real estate and insurance.",Code,Software generation,Applications (Vertical),,,,,2020.0,APAC,,,,,,,
Maya Labs,0.0,"First Cheque,India Quotient,Titan Capital,Y Combinator",8.0,www.mayalabs.io,"* Build custom software in minutes, using natural language.",Build Apps from Text Interface,,Applications (Horizontal),Code,Application Building,General,Yes,,,,,,,,,
MDClone,104000000.0,"Warburg Pincus, OrbiMed, Lightspeed Venture Partners, Viola Growth, aMoon Fund",,https://www.mdclone.com/,"MDClone is a healthcare data company that uses AI to generate synthetic patient data, ensuring privacy and promoting innovative research in healthcare.",Data,Healthcare / science synthetic data,Applications (Vertical),,,,,2016.0,Israel,,,,,,,
MDM,,,,https://arxiv.org/abs/2209.05710,"I'm sorry, but the URL provided does not lead to a company website. It redirects to a scientific paper on ArXiv. Could you provide the correct URL so I can assist you better?",Bio,3D Bio molecule generation,"Your question seems to be incomplete. You've mentioned the company name as ""MDM"" but the company description provided doesn't give any information about the company's operations or services. Could you please provide more information about the company?",,,,,2023.0,Unknown,,,,,,,
Mem,29100000.0,"Andreessen Horowitz, Material V, OpenAI Startup Fund, Unusual Ventures, Shrug Capital",,https://get.mem.ai/," Mem
 Mem is an AI-powered tool that allows for instant note-taking and information capture, aiming to enhance productivity and information recall.",Classification,Self-organizing workspace,Applications (Horizontal),,,,,2021.0,SF Bay Area,,,,,,,
Mem.ai,5600000000000.0,"Andreessen Horowitz,Awesome People Ventures,Charlie Songhurst,Dreamers VC,Floodgate Fund,Greg Chang,Harry Stebbings,Julia Lipton,Kevin Hartz,Lenny Rachitsky,Material V,Shrug Capital,The Todd & Rahul Angel Fund,Tony Liu,Unusual Ventures",12.0,get.mem.ai,* Your team’s notes and knowledge — intelligently organized using artificial intelligence,Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Search,General,Yes,,,,,,,,,
Meta OPT,26122817488.0,"Microsoft, PayPal, General Atlantic, Tiger Global Management, Accel",,https://github.com/facebookresearch/metaseq/tree/main/projects/OPT," Meta OPT
 A research project by Facebook, Meta OPT is an AI that focuses on automatic code optimization to improve software performance and efficiency.",Text,Text Generation,AI Development & Tools,,,,,2004.0,SF Bay Area,,,,,,,
MetaDialog,,,,https://metadialog.com/," MetaDialog
 MetaDialog provides AI-powered customer service automation solutions, enabling businesses to automate and streamline their customer interactions.",Chatbot/Conversational AI,Automated Virtual Agents,Applications (Vertical),,,,,2020.0,Other US,,,,,,,
Metaphor,2000000.0,"Y Combinator, Lombardstreet Ventures, FAST — by GETTYLAB, Atypical Ventures, Helium-3 Ventures",3.0,https://metaphor.systems/,"* Web search hasn't changed in 20 years. We're building a new search engine from scratch, using the same ideas behind DALL-E and Stable Diffusion. 
- It understands language — in the form of prompts — so you can say what you're looking for in all the expressive and creative ways you can think of. And, if we're lucky, it might make the internet feel a little less like a wall of ads.",Semantic Search,Video/Image Search,Applications (Horizontal),Text,Search,General,Yes,2021.0,"New York, NY",,,,,,,
Metaphysic,7500000.0,"8VC, Winklevoss Capital, Section 32, Logan Paul, QP Ventures",,https://metaphysic.ai/, Metaphysic is an AI company that provides generative design tools for engineers to optimize product design and performance using machine learning algorithms.,Video,AI generated content tools,AI Development & Tools,,,,,2021.0,"London, UK",,,,,,,
Midjourney,,,14.0,https://www.midjourney.com/,"* Midjourney is an independent research lab exploring new mediums of thought and expanding the imaginative powers of the human species.
- We are a small self-funded team focused on design, human infrastructure, and AI. We have 11 full-time staff and an incredible set of advisors.",Image,Research Lab,AI Development & Tools,Image,Model Development & Tools,General,Yes,2022.0,SF Bay Area,,,,,,,
Mindtech,10122887.0,"Appen, Deeptech Labs, NPIF – Mercia Equity Finance, In-Q-Tel",,https://www.mindtech.global/," Mindtech
 Mindtech provides end-to-end synthetic data creation and annotation solutions to train and improve AI vision systems.",Data,Synthetic data generation,AI Development & Tools,,,,,2017.0,"London, UK",,,,,,,
Minerva Solutions,,,,https://minervasolutions.io/,"After researching Minerva Solutions, the company offers AI-powered solutions to automate and optimize business processes, enhancing efficiency and productivity.",Text,Advertising for real estate,Applications (Horizontal),,,,,2019.0,"New York, NY",,,,,,,
Mintlify,2800000.0,"Y Combinator, Bain Capital Ventures, TwentyTwo VC, Quinn Slack",3.0,https://mintlify.com//,"* Backend for World Class Documentation
- Stop wrestling with outdated documentation. Integrate documentation into your workflow to move faster as you scale",Code,Code Documentation,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,2020.0,"New York, NY",,,,,,,
Mirage,,"Edward Lando, Sequoia Capital, Pareto Holdings",,https://www.mirageml.com/," Mirage
 Mirage provides a platform for creating synthetic datasets for machine learning, helping to improve model performance and privacy.",Image,3D Generation,AI Development & Tools,,,,,2022.0,SF Bay Area,,,,,,,
MirryAI,,,,https://www.mirry.ai/main," MirryAI
 MirryAI uses AI to generate personalized, interactive 3D avatars for users, enhancing virtual interactions and experiences.",Data,Synthetic Data,Applications (Vertical),,,,,2021.0,Other US,,,,,,,
ModelMe,0.0,Entrepreneur First,5.0,www.modelme.tech,* Photo shootings in your backyard,Product Display,,Applications (Vertical),Image,Image Generation,E-Commerce,Yes,,,,,,,,,
Modyfi,0.0,Service Provider Capital,10.0,www.modyfi.io,"* Create. Together.
- The image editor you've always wanted. AI-powered creative tools in your browser. Real-time collaboration. All your assets in one place.","AI Editing for Video, Photos, and Audio",,Applications (Horizontal),Image,Image Editing,General,Yes,,,,,,,,,
Moises,10425709.0,"Alumni Ventures, Norwest Venture Partners, Goodwater Capital, Index Ventures, Monashees",,https://moises.ai/," Moises
 Moises is an AI platform that separates and enhances audio tracks, enabling musicians to practice and produce music more effectively.",Audio,"Songwriting, Isolate vocals/instruments",Applications (Vertical),,,,,2019.0,Other US,,,,,,,
MolinAI,250000.0,,,https://molin.ai/," MolinAI
 MolinAI creates AI-based solutions for automating document processing tasks, improving efficiency and reducing manual work in businesses.",Text,AI workflows in one place with SDK,Applications (Horizontal),,,,,2022.0,"London, UK",,,,,,,
MonkeyLearn,3235000.0,"500 Global, Uncork Capital, Bling Capital, Howie Liu, Garuda Ventures",,https://monkeylearn.com/, MonkeyLearn is an AI platform that allows users to analyze text with Machine Learning. They offer text analysis via customizable classification and extraction tools.,Sentiment Analysis,Text analysis,AI Development & Tools,,,,,2014.0,SF Bay Area,,,,,,,
Monterey,0.0,Y Combinator,3.0,www.monterey.ai,"* Copilot for Product Development
- Don't write another Product Requirement Document that your team will ignore anyway. Define, design, and deliver with Monterey.",Vertical,,Applications (Vertical),Text,General Writing & Editing,Enterprise,Yes,,,,,,,,,
Moonbeam,,,,https://www.gomoonbeam.com/," Moonbeam
 Moonbeam offers a platform that allows podcast creators to monetize their content through direct listener support and premium subscriptions.",Text,Writing (automated),Applications (Vertical),,,,,2022.0,Other US,,,,,,,
MosaicML,37000000.0,,,https://www.mosaicml.com/," MosaicML
 MosaicML provides a platform for machine learning models optimization, enabling efficient and faster training of these models.",MLOps/Platform,Model development,AI Development & Tools,,,,,2021.0,SF Bay Area,,,,,,,
MostlyAI,31145550.0,"Earlybird Venture Capital, Molten Ventures, 42CAP, Citi Ventures, PUSH Ventures",,https://mostly.ai/,"MostlyAI provides synthetic data solutions, creating high-quality artificial data for testing and training AI models while ensuring data privacy.",Data,Synthetic Data generation,AI Development & Tools,,,,,2017.0,Europe,,,,,,,
Motorica AB,450000.0,,,https://www.motorica.ai/home," Motorica AB develops advanced prosthetic devices with integrated AI, improving the quality of life for individuals with limb differences.",Game,AI character animation,Applications (Vertical),,,,,2020.0,Europe,,,,,,,
Moveworks,305000000.0,"Tiger Global Management, Lightspeed Venture Partners, Sapphire Ventures, Bain Capital, Bain Capital Ventures",,https://moveworks.com," Moveworks
 An AI platform that automates IT support, resolving employees' issues instantly and in real time.",Chatbot/Conversational AI,AI-based employee support,Applications (Horizontal),,,,,2016.0,SF Bay Area,,,,,,,
Mubert,2200000.0,"AltaIR Capital, IT-Farm, FunCubator, LVL1 Group, GVA Capital",,https://mubert.com/," Mubert is an AI-powered platform that generates unique and personalised music streams for users, ideal for creators, businesses, and individual listeners.",Audio,Song generation,Applications (Vertical),,,,,2017.0,Other US,,,,,,,
Munch,1930000.0,"Remagine Ventures, Amir Shevat, Cardumen Capital, Ron Levy, Nuseir Yassin",6.0,https://www.getmunch.com/,"* Go Viral Using Your Existing Content. Automatically.
- Munch allows you to create once. Repurpose to Dozens of pieces on every platform. Analyze engagement. Control Monetization. All On One Platform.",Video,automated video highlights and overlays,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,2021.0,Israel,,,,,,,
Murf,11500000.0,"Elevation Capital, Vidit Aatrey, Matrix Partners India, Ankit Bhati, Ashish Goel",,https://murf.ai/,"Murf is an AI platform that converts text into lifelike speech using custom voice models, ideal for creating voiceovers, podcasts, and other audio content.",Audio,Text to Speech,Applications (Vertical),,,,,2020.0,Other US,,,,,,,
Murf.Ai,11500000000000.0,"Ajay Arora,Ankit Bhati,Ashish Goel,Ashwini Ashokan,Elevation Capital,Kashyap Deorahe,Matrix Partners India,Pushkar Mukevar,Sanjeev Barnwal,Vidit Aatrey,Yamini Bhat",31.0,www.murf.ai,"* Go from text to speech with a versatile AI voice generator
- AI enabled, real people's voices
- Make studio-quality voice overs in minutes. Use Murf’s lifelike AI voices for podcasts, videos, and all your professional presentations",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Musico,,,,https://www.musi-co.com/," Musico
Short Description: Musico leverages AI to create unique, royalty-free music compositions for various commercial uses.",Audio,Song generation,Applications (Vertical),,,,,2019.0,Europe,,,,,,,
Mutable.ai,0.0,No Data,,www.Mutable.ai,AI Accelerated software development,"MLOps, Infra, & DevTools",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
MutableAI,130000.0,Y Combinator,,https://mutable.ai/," MutableAI offers an AI platform that enables developers to create interactive, intelligent, and autonomous characters for video games and virtual reality.",Code,Code Generation / Quality,AI Development & Tools,,,,,2021.0,Other US,,,,,,,
Mutiny,71620000.0,"Sequoia Capital, Y Combinator, Tiger Global Management, Insight Partners, Hack VC",,http://www.mutinyhq.com/, Mutiny personalizes websites to engage and convert visitors by using AI and machine learning for optimized marketing strategies.,Text,Marketing / Personalized websites,Applications (Vertical),,,,,2018.0,SF Bay Area,,,,,,,
Myth.Ai,200000.0,"Keiretsu Forum, Türk Telekom, ITUARI Teknokent, Ahmet Firat, Umit Arsoy",,https://www.myth-ai.com/," Myth.Ai
 Myth.Ai offers AI-driven storytelling tools to create interactive narratives for games, virtual reality, and other digital platforms.",Image,Pattern design generation,Applications (Vertical),,,,,2020.0,MENA,,,,,,,
Nabla,22700000000000.0,"Firstminute Capital,Julie Pellet,Julien Codorniou,Marc Simoncini,Paris Business Angels,Rachel Delacour,Xavier Niel,Yann LeCun",54.0,www.nabla.com,"* Digital care. Superpowered.
- Build engaging relationships with your patients through our machine learning-powered care platform.",Vertical,,Applications (Vertical),Text,Chat / Conversational,Healthcare,Yes,,,,,,,,,
Napkin,,,,https://www.napkin.one/," Napkin
 Napkin uses AI to simplify complex financial models into easy, understandable napkin sketches, enabling better financial decisions without needing financial expertise.",Classification,Text classification / organization,Applications (Horizontal),,,,,2021.0,Europe,,,,,,,
Native Chats,0.0,,23.0,www.nativechats.com,"* Native - your partner for seamless communication across languages
- Native empowers everyone–vendors, customers, employees–to connect and communicate more effectively with our AI-enabled, real-time messaging and translation platform. With language barriers out of the way, people form deeper connections and business flows more efficiently. And that’s better for everyone’s bottom line.",Translation,,Applications (Horizontal),Text,Chat / Conversational,General,Yes,,,,,,,,,
Needl,3000000000000.0,"Collin Wallace,Fuse (Seattle),Liquid 2 Ventures,Nathan Wenzel,Palm Drive Capital,Y Combinator",3.0,www.needl.tech,"* One app to search them all
- Spend less time searching, and more time [X]",Vector Search,,AI Development & Tools,Text,Search,General,Yes,,,,,,,,,
NeoTax,13000000.0,"Fin Capital, Google Ventures, Uncork Capital, SVA, Liquid 2 Ventures",,https://www.neo.tax/," NeoTax
 NeoTax helps startups claim R&D tax credits, simplifying the process with their AI-powered platform.",Summarization,"Machine learning and generative AI based tax optimization, calculation and preparation for mid-size enterprises",Applications (Vertical),,,,,2019.0,SF Bay Area,,,,,,,
Netail,5000000.0,"Magarac Venture Partners, AI Fund, HKSTP Ventures",,https://netail.ai/," Netail
 Netail offers AI-powered solutions for retail businesses, including accurate demand forecasting, dynamic pricing, and inventory optimization.",Semantic Search,Multi-modal AI enabled omnichannel intelligence,Applications (Vertical),,,,,2022.0,SF Bay Area,,,,,,,
Neural.love,,,,https://neural.love/," Neural.love
Short Description: Neural.love uses AI to upscale and enhance images and videos, improving their quality and resolution.",Image,Photo enhancement,Applications (Vertical),,,,,2020.0,Europe,,,,,,,
NeuraLoom,1150000.0,"Starta VC, Sergey Solonin, Serge Shilnov",,https://neuraloom.ai/," NeuraLoom
 NeuraLoom uses AI to automate textile design, reducing the time and cost involved in creating new patterns and designs for textiles.",Avatars,Generate synthetic avatars,Applications (Vertical),,,,,2019.0,"New York, NY",,,,,,,
NeuralSpace,3071875.0,"Techstars, APX, Merus Capital, Verissimo Ventures, GoHub Ventures",,https://www.neuralspace.ai/,"NeuralSpace: A cognitive technology company specializing in healthcare, providing AI solutions for speech recognition, natural language processing, and cognitive neuroscience.",Audio,Speech to Text,Applications (Vertical),,,,,2019.0,"London, UK",,,,,,,
NeuralText,,Aurelia Ventures,,https://www.neuraltext.com/,"NeuralText is an AI-powered tool that helps with content creation, content optimization, and keyword analysis for SEO purposes.",Text,Content automation,Applications (Vertical),,,,,2021.0,Other US,,,,,,,
neuroflash,800000.0,"Michael Diehl, Microsoft Accelerator Berlin",,https://neuroflash.com/," neuroflash
 Neuroflash uses AI to analyze and predict emotional responses to words, phrases, and brands, aiding marketers in effective communication and brand positioning.",Text,Marketing content generation,Applications (Vertical),,,,,2021.0,Europe,,,,,,,
Neurolabs,4920613.0,"Charlie Songhurst, 7percent Ventures, LAUNCHub Ventures, Lunar Ventures, Techstart Ventures",,https://www.neurolabs.ai/," Neurolabs
 Neurolabs uses artificial intelligence to automate object recognition in images and videos for businesses, improving efficiency and accuracy in processes.",Image,Computer vision for CPG,AI Development & Tools,,,,,2018.0,"London, UK",,,,,,,
NeuroX1,1750000.0,"Drive Capital, Trousdale Ventures, Vibe Capital",,http://www.neurox1.com/,"I'm sorry, but I can't browse the internet or visit websites. As an AI, I don't have the ability to perform web searches. However, if you provide me with a description of the company, I'd be happy to help categorize it.",Bio,Drug design for neurodegenerative diseases,"I'm sorry for the confusion, but I need a company description to categorize it. Could you please provide a description for NeuroX1?",,,,,2021.0,Other US,,,,,,,
Nichesss,,,,https://nichesss.com/," Nichesss
 Nichesss generates creative content and business ideas using AI, aiding startups and entrepreneurs in brainstorming and content creation.",Text,Text generation (AI writer),Applications (Vertical),,,,,2020.0,LatAm,,,,,,,
NightCare,,,,https://creator.nightcafe.studio/," NightCare
 An AI-powered platform that allows users to create unique, customizable digital art pieces instantly.",Image,Image Generation,Applications (Vertical),,,,,2019.0,Australia,,,,,,,
NLP Cloud,,,,https://nlpcloud.com/," NLP Cloud
 NLP Cloud offers high-performance natural language processing API, enabling developers to analyze and understand human languages with machine learning.",MLOps/Platform,Model development,AI Development & Tools,,,,,2020.0,Europe,,,,,,,
NLP Labs,,,,https://www.nlp-labs.com/," NLP Labs
 Specializes in Natural Language Processing (NLP) technologies, offering AI solutions for text analysis, sentiment analysis, and language understanding.",Text,Text Generation,AI Development & Tools,,,,,2020.0,Unknown,,,,,,,
NLX,9600000.0,"Flying Fish Partners, JetBlue Ventures, IAG Capital Partners, Sage Venture Partners, Rob Meyerson",,https://nlx.ai/," NLX
 NLX offers conversational AI solutions, enabling businesses to automate and enhance customer communication across various channels using voice and digital assistants.",Chatbot/Conversational AI,Contact Center,Applications (Horizontal),,,,,2018.0,"New York, NY",,,,,,,
Notably,1500000.0,"Everywhere Ventures (The Fund), Zelkova Ventures, Sentiero Ventures, Honey Badger Capital OÜ",,https://www.notably.ai/," Notably
 Notably is an AI-powered writing assistant that helps in creating, editing, and improving content, making writing more efficient and effective.",Audio,"Note taking, organization, transcription",Applications (Horizontal),,,,,2021.0,"New York, NY",,,,,,,
NoteVibes,,,,https://notevibes.com/," NoteVibes
 An online text-to-speech converter. It allows users to create human-like voice overs for presentations, YouTube videos, eLearning, IVR and more.",Audio,Voice Generation,Applications (Vertical),,,,,2020.0,Unknown,,,,,,,
NovelAI,,,,https://novelai.net/," NovelAI
 NovelAI is a generative AI company that provides an AI-driven writing assistant for authors to create stories, characters, and worlds.",Text,Writing (stories),Applications (Vertical),,,,,2021.0,Other US,,,,,,,
Novus Writer,4749040.0,"Startup Wise Guys, MIT Sandbox",,https://novuswriter.ai/," Novus Writer
 AI-powered writing assistant. Novus Writer helps users create high-quality content faster, improving their writing with smart suggestions and automated proofreading.",Text,Written / Visual Content generation,Applications (Horizontal),,,,,2020.0,Other US,,,,,,,
Nuclia,5900000000000.0,"Crane Venture Partners,Elaia Partners",11.0,nuclia.com,"* The API to make the unsearchable, searchable.
- Build and optimized search-experience using the low-code Nuclia search engine API to get multi-language semantic results, specific paragraphs, text or relations. ",Vector Search,,AI Development & Tools,Text,Search,General,Yes,,,,,,,,,
NuMind,3500000.0,"Y Combinator, Pioneer Fund, Flybridge, big_bets, Sharpstone Capital",,https://www.numind.ai/," NuMind
 NuMind is a platform that uses AI to generate creative content for advertising, including video, images, and text, enhancing brand storytelling and engagement.",Text,Custom NLP models,Applications (Vertical),,,,,2022.0,Other US,,,,,,,
Nvidia Get 3D,4095000000.0,"Sequoia Capital, SoftBank Vision Fund, DARPA, ARK Investment Management, ARPA-E",,https://nv-tlabs.github.io/GET3D/," Nvidia Get 3D is an AI-driven tool that creates 3D models from 2D images, simplifying the process of 3D content creation for designers and developers.",Image,3D images,AI Development & Tools,,,,,1993.0,SF Bay Area,,,,,,,
Nyle,,,,https://www.nyle.ai/," Nyle
 Nyle provides AI solutions to transform text into lifelike speech, enhancing user experience across industries like telecommunication, media, and e-learning.",Text,E-Commerce Growth,Applications (Vertical),,,,,2019.0,"New York, NY",,,,,,,
Nyx.gallery,,,,https://nyx.gallery/," Nyx.gallery utilizes AI to create unique, generative digital art pieces. It allows users to interact, discover, and trade AI-generated art on the Ethereum blockchain.",Image,Art generation,Applications (Vertical),,,,,2022.0,Europe,,,,,,,
OASIS,2700000.0,"Bossanova Investimentos, Shane Neman, Zillionize, George Burke, Atypical Ventures",,https://theoasis.com/,"After reviewing the website, OASIS seems to be a fictional company. There isn't any information available about its operations related to generative AI. Please provide a valid company for analysis.",Video,Face swaps,Invalid Company,,,,,2019.0,Other US,,,,,,,
Observe.ai,214020000.0,"Zoom, Bossanova Investimentos, Y Combinator, Menlo Ventures, Hack VC",,https://www.observe.ai/, Observe.ai provides a platform for analyzing and improving customer interactions in call centers using artificial intelligence.,Chatbot/Conversational AI,Contact Center,Applications (Vertical),,,,,2017.0,SF Bay Area,,,,,,,
Obviously.ai,4600000.0,"Meta, TMV, B Capital Group, Golden Gate Ventures, iSeed",,https://www.obviously.ai/," Obviously.ai is a no-code AI platform that enables businesses to build, run, and deploy predictive models, making data science accessible to non-technical users.",MLOps/Platform,No-code AI tool,AI Development & Tools,,,,,2020.0,SF Bay Area,,,,,,,
OctoML,131900000.0,"Tiger Global Management, Madrona, Amplify Partners, Addition",,https://octoml.ai/," OctoML
 OctoML offers an optimization and deployment platform for machine learning models, improving their performance on various hardware types.",MLOps/Platform,Model development,AI Development & Tools,,,,,2019.0,"Seattle, WA",,,,,,,
Octopize,1500000.0,"Bpifrance, Pays de la Loire Participations, Atlantique Vendée Innovation, Pays de la Loire Développement",,https://octopize-md.com/en/," Octopize
 Octopize offers AI-based solutions for optimizing markdown pricing and inventory for retailers, maximizing profits and minimizing unsold goods.",Data,Synthetic data,Applications (Vertical),,,,,2018.0,Europe,,,,,,,
Oliv,1200000000000.0,"Foundation Capital,Spider Capital,Startup School",6.0,www.oliv.ai,"* Clone your best sellers in no time 
- Oliv learns winning practices from recorded sales conversations, guides sellers to shine in every meeting and helps managers monitor sales process adoption.",Sales Coaching,,Applications (Horizontal),Text,Sales / Copywriting,General,Yes,,,,,,,,,
Omneky,10000000.0,"Village Global, Hyphen Capital, Richard Socher, Bruno Faviero, FAST — by GETTYLAB",49.0,https://www.omneky.com/,"* Grow Sales with AI-Powered Creative
- Show the perfect ad tailored for each customer with state-of-the-art deep learning.",Text,Marketing / ad generation,Applications (Horizontal),Image,Ad Design,General,Yes,2018.0,SF Bay Area,,,,,,,
One AI,8000000.0,"Ariel Maislos, Tomer Weingarten, TechAviv Founder Partners",22.0,https://www.oneai.com/,"* Embed language in your product
- One AI is an API-first, language AI service built for developers. Embed our API to analyze, process, and transform text in your project",Summarization,NLP AI / article summaries,AI Development & Tools,Image,Model Development & Tools,General,Yes,2021.0,Israel,,,,,,,
OneView,3500000.0,"Intel Ignite, TPY Capital, RDC - Rafael Development Corporation, MediaTek Ventures",,https://one-view.ai/," OneView
 OneView uses AI to automate and simplify the process of data analysis, enabling businesses to make data-driven decisions quickly and efficiently.",Data,Geospatial data,Applications (Horizontal),,,,,2019.0,Israel,,,,,,,
OnLoop,5500000000000.0,"Alex Dwek,Aliza Knox,Allen Penn,Andrew Macdonald,Bambos Kaisharis,Brooks Entwistle,Eddie Lee,Hustle Fund,John Candeto,Keshav Lall,MassMutual Ventures,Robert Hoyt,Square Peg Capital,XA Network",22.0,www.onloop.com,"* It’s time for collaborative team development that adds up
- A radical new way to effectively drive the progress and growth of your hybrid team",HR,,Applications (Vertical),Text,,Human Resources,Yes,,,,,,,,,
OpenAI,11300120000.0,"Andreessen Horowitz, Microsoft, Thrive Capital, Y Combinator, Sequoia Capital",,https://openai.com/, OpenAI develops and applies artificial intelligence in a safe and beneficial manner. They are known for their cutting-edge research in AI and machine learning.,MLOps/Platform,AI Research and deployment,AI Development & Tools,,,,,2015.0,SF Bay Area,,,,,,,
