Company,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,Unnamed: 21
HuggingFace,164900000000000.0,"A.Capital Ventures,Addition,AIX Ventures,Alex Wang,Augusto Marietti,Betaworks,Betaworks Ventures,Brandon Reeves,Coatue Management,Damien Gosset,Dev Ittycheria,Edouard Rosenblum,Florian Douetteau,Greg Brockman,Kevin Durant,Lee Fixel,Lux Capital,Matthieu Vaxelaire,Olivier Pomel,Paul St. John,Rich Kleiman,Richard Socher,Ronny Conway,Sequoia Capital,Sequoia Real Estate Partners,SV Angel,Terrence Rohan,The Chernin Group,Thibaud Elziere,Thirtyfive Ventures",163.0,www.huggingface.co,"* The AI community building the future.
- Build, train and deploy state of the art models powered by the reference open source in machine learning.","MLOps, Infra, & DevTools",,AI Development & Tools,General / Multi-Modal,Model Development & Tools,General,Yes,,,,,,,,,
HumanLoop,2900000000000.0,"AlbionVC,Index Ventures,Phoenix Court,UCL Technology Fund,Y Combinator",6.0,www.humanloop.com,"* Make GPT–3 faster, cheaper, more effective
- Find the prompts users love and fine-tune custom models for higher performance at lower cost","MLOps, Infra, & DevTools",,AI Development & Tools,,Model Development & Tools,General,Yes,,,,,,,,,
Humanloop,2725000.0,"Y Combinator, Index Ventures, Gerald Parloiu, Raphael Danilo, UCL Technology Fund",,https://humanloop.com/,,MLOps/Platform,Model development,,,,,,2020,"London, UK",,,,,,,
Hypar,2480000.0,Building Ventures,,https://hypar.io/,,Image,Architecture design,,,,,,2018,"Los Angeles, CA",,,,,,,
Hypertype,1499749.0,"Antler, Sting, Luminar Ventures, Propel Capital, Plug & Play Mexico",,https://hypertype.co/,,Text,Email generation,,,,,,2021,Europe,,,,,,,
Hypotenuse AI,125000.0,"Y Combinator, CABRA VC, Nick Raushenbush",,https://www.hypotenuse.ai/,,Text,AI Content,,,,,,2020,SF Bay Area,,,,,,,
Hypothetic,4505000.0,Trevor Wright,,https://www.hypothetic.art/,,Game,3D art creation and asset management,,,,,,2021,"Los Angeles, CA",,,,,,,
iGenius,32830752.0,"BlackSheep Ventures, NovaCapital",,https://www.igenius.ai/,,Chatbot/Conversational AI,Data analysis / science automation,,,,,,2016,Europe,,,,,,,
Imagen,34000000.0,"NFX, Summit Partners, NFX",,https://imagen-ai.com/,,Image,Photo editing / profile picture generation,,,,,,2020,Israel,,,,,,,
Incentivai,120000.0,Y Combinator,,https://www.incentivai.co/,,Chatbot/Conversational AI,Automated Virtual Agents,,,,,,2018,SF Bay Area,,,,,,,
Infinitus,51400000.0,"Google Ventures, Coatue, Gradient Ventures, Firebolt Ventures, Quiet Capital",,https://infinitus.ai/,,Chatbot/Conversational AI,Healthcare Conversational AI,,,,,,2019,SF Bay Area,,,,,,,
Inflection,265000000000000.0,Greylock Partners,9.0,www.inflection.ai,"Developer of artificial intelligence (AI) platform designed to improve human-computer interaction. The company's platform addresses the problem"" that humans need to simplify the requests they make to computers and adjust the language to fit what machines can understand, enabling clients to have a seamless experience in understanding machine language",Natural Language Frontends,,Applications (Horizontal),Text,Chat / Conversational,General,Yes,,,,,,,,,
Inflection AI,225000000.0,,,inflection.ai,,MLOps/Platform,cross-industry generative interfaces,,,,,,2022,SF Bay Area,,,,,,,
Ingest AI,,,,https://ingestai.io/,,Text,"Turn your docs, wikis, and spreadsheets into a ChatGPT-like context-aware chatbot",,,,,,2023,Other US,,,,,,,
INK,,,,https://inkforall.com/,,Text,NLO / content generation,,,,,,2019,Other US,,,,,,,
Insilico,401300000.0,"Deerfield, Warburg Pincus, WuXi AppTec, OrbiMed, Juvenescence",,https://insilico.com/,,Bio,Protein & drug design,,,,,,2014,APAC,,,,,,,
InstaDeep,107000000.0,"Google, BioNTech, G42, Bossanova Investimentos, AfricInvest",,http://instadeep.com,,MLOps/Platform,industry-specific generative applications,,,,,,2015,"London, UK",,,,,,,
Instoried,219500000.0,"Venture Catalysts, 9Unicorns Accelerator Fund, EXPERT DOJO, SOSV, Artesian VC",40.0,https://instoried.com/,"* Enhance your content writing experience with instoried.
- Analyze the tones and emotions present in your text. Get recommendations for adding empathy to your content.",Text,Text generation,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,2018,APAC,,,,,,,
Intento,10649998.0,"Berkeley SkyDeck Fund, SkyDeck Berkeley, Amadeo Global, SmartHub, Davidovs Venture Collective (DVC)",,https://inten.to/,,Text,Content Translation,,,,,,2016,SF Bay Area,,,,,,,
Interior AI,,,,https://interiorai.com/,,Image,Interior Design,,,,,,2022,Europe,,,,,,,
InteriorAI,0.0,No Data,,www.interiorai.com,* Interior design and virtual staging by AI,Vertical,,Applications (Vertical),3D,Asset Generation,Construction & Architecture,Yes,,,,,,,,,
Inventurist,500000.0,,,https://www.inventurist.ai/,,Text,Market research,,,,,,2014,SF Bay Area,,,,,,,
InVideo,52500000.0,"Tiger Global Management, Lightspeed Venture Partners, RTP Global, Blume Ventures, Omidyar Network",,https://invideo.io/,,Video,"Text to Video, Video creation/editing",,,,,,2017,APAC,,,,,,,
Inworld,69700000.0,"Meta, Intel Capital, Founders Fund, BITKRAFT Ventures, HTC",,https://www.inworld.ai/,,Avatars,NPC's for games,,,,,,2021,SF Bay Area,,,,,,,
Iterative.ai,25400000.0,"True Ventures, 468 Capital, Afore Capital, Ihar Mahaniok",,https://iterative.ai/,,MLOps/Platform,Model development,,,,,,2018,SF Bay Area,,,,,,,
Jasper,146700000000000.0,"Bessemer Venture Partners,Coatue Management,Foundation Capital,Founders Circle Capital,G Ventures (VC),Hack VC,HubSpot Ventures,Insight Partners,IVP,Liquid 2 Ventures,Y Combinator,Z Nation Lab",174.0,www.jasper.ai,"* Meet Jasper, The Future of Writing
- Artificial intelligence makes it fast & easy to create content for your blog, social media, website, and more! Rated 5/5 stars in 3,000+ reviews.",Generation for Copywriters & SMB Marketers,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
Jasper.ai,131037766.0,"Bossanova Investimentos, Insight Partners, Bessemer Venture Partners, Coatue, IVP",,https://www.jasper.ai/,,Text,Content/Marketing,,,,,,2015,North America (excl. US),,,,,,,
Jenni,250000.0,Antler,,https://jenni.ai/,,Text,Text generation (AI writer),,,,,,2015,APAC,,,,,,,
Jina.ai,37200000000000.0,"Canaan Partners,GGV Capital,Mango Capital (Venture Capital),SAP.iO,Yunqi Partners",,www.jina.ai,"* The most advanced MLOps platform for multimodal AI
- Build neural search, creative AI and multimodal data services on the cloud at scale.","MLOps, Infra, & DevTools",,AI Development & Tools,General / Multi-Modal,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Jio Haptik,12200000.0,"Kalaari Capital, Times Internet, Vivek Kumar",,https://www.haptik.ai/,,Chatbot/Conversational AI,Automated Virtual Agents,,,,,,2013,APAC,,,,,,,
Kadoa,,,,https://www.kadoa.co/,,Text,Data Extraction with generative AI,,,,,,2023,Europe,,,,,,,
Kaedim,203561.0,"Mandeep Singh, Matt Robinson, Tom Blomfield, Chris Kingsley",,https://www.kaedim3d.com/,,Image,2D to 3D image generation,,,,,,2020,"London, UK",,,,,,,
Kafkai,,,,https://kafkai.com/,,Text,Marketing content creation,,,,,,2018,APAC,,,,,,,
Kai,,,,https://kai.ai/,,Chatbot/Conversational AI,AI well-being companion,,,,,,2020,Israel,,,,,,,
Kaizan,1152071.0,"Entrepreneur First, Ledger, Founders Factory, Silicon Roundabout Ventures, IPONWEB",9.0,https://kaizan.ai/,"* Scale your clients faster with Kaizan
- Kaizan automates your tasks using conversation intelligence and highlights what will increase client success and revenue.",Audio,Contact center / customer support,Applications (Vertical),Text,Customer support / Knowledge Management,Enterprise,Yes,2021,"London, UK",,,,,,,
Kalendar AI,3200000000000.0,"500 Global,Asymmetry Ventures,Boost VC,Green Meadow Ventures,Metaplanet Holdings,Tim Mayeur",10.0,www.kalendar.ai,Book new revenue on autopilot with AI. Kalendar AI set up meetings with your predictive next customers from 340m+ ideal profiles. ,Sales Tools,,Applications (Vertical),Text,Sales / Copywriting,Marketing,Yes,,,,,,,,,
Kamua,475000.0,"Albert Armengol, Scott Cohen",,https://kamua.com/,,Video,Video editing / repurposing,,,,,,2019,"London, UK",,,,,,,
Kartiv,,,,https://www.kartiv.com/,,Image,AI generated ad creatives,,,,,,2023,Unknown,,,,,,,
Kasisto,81450000.0,"FIS, NCR, Mastercard, Oak HC/FT, Commerce Ventures",,https://kasisto.com/,,Chatbot/Conversational AI,Customer support,,,,,,2013,"New York, NY",,,,,,,
K-Explorer ,0.0,No Data,,,"* Your AI Dev Buddy
- A search code engine and code assist that sharpens developer’s productivity.","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Keys,700000.0,"Techstars, Asymmetry Ventures, Everywhere Ventures (The Fund), CapitalX, Frontier Angels",,https://www.thekeys.ai/,,Chatbot/Conversational AI,Text generation,,,,,,2020,Other US,,,,,,,
Kiliba,7056537.0,"Edward Lando, FrenchFounders, Pareto Holdings, Otium Capital, Thibaud Hug de Larauze",,https://kiliba.com//,,Data,E-commerce marketing,,,,,,2018,Europe,,,,,,,
Kinetix,11000000.0,"Animoca Brands, Entrepreneur First, NAVER Z, The Sandbox, Sparkle Ventures",,https://kinetix.tech/,,Video,3D content generation from video,,,,,,2020,Europe,,,,,,,
Kirin,300000.0,Johnney Zhang,,https://www.kirin.org/,,Game,3D model geneartion,,,,,,2022,"Los Angeles, CA",,,,,,,
Kite,27100000000000.0,"AAF Management,Andrew Houston,Caffeinated Capital,Chapter One Ventures,East Ventures,Emmett Shear,Hyperplane Venture Capital,Joseph Lonsdale,Joshua Reeves,Kevin Moore,Kyle Vogt,Lee Linden,M12,Manish Lachwani,Matthew Mullenweg,Max Levchin,Nat Friedman,Oyster Ventures,Pillar VC,Seed Group,SV Angel,The Private Office (Dubai),Trinity Ventures,TSVC,Wayne Chang",28.0,www.kite.com,"* Code Faster. Stay in Flow.
- Kite adds AI powered code completions to your code editor, giving developers superpowers.","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Koalluh,100000.0,,,http://koalluh.com/,,Text,Story creation for kids,,,,,,2022,Other US,,,,,,,
KREA,2320000.0,"Asymmetry Ventures, Cassis & Cassis Capital, Corner3, Datapower Ventures, DayDreams Ventures, DCA Asset Management, FirstMile Ventures, Kickstart Seed Fund, Moontide Capital, Service Provider Capital, Techstars, The Fund",,https://www.krea.ai/,,Image,Art generation,,,,,,2022,"Miami, FL",,,,,,,
Krisp,17500000.0,"Sierra Ventures, RTP Global, s16vc, Berkeley SkyDeck Fund, TechNexus Venture Collaborative",,https://krisp.ai/,,Audio,Audio quality / sound extraction,,,,,,2017,SF Bay Area,,,,,,,
LALAL,,,,https://www.lalal.ai/,,Audio,Audio quality,,,,,,2020,Europe,,,,,,,
Lalaland,2551073.0,"Google for Startups, ASIF Ventures, Innovatiefonds Noord-Holland, Unknown Group, ACE Incubator",,https://lalaland.ai/,,Avatars,Digital avatar models,,,,,,2019,Europe,,,,,,,
Lalaland.ai,3100000000000.0,"ACE Venture Lab,Amhar Ford,ASIF Ventures,Bart Wilde,Christina Caljé,Google for Startups,Orange Wings Capital,Thorsten Koch,Unknown Group,Utrechtinc",12.0,www.lalaland.ai,"* No more photoshoots - With digital avatars, apparel companies can showcase and validate 3D garment designs. Visualize ODM end-to-end from the earliest stages of design and development, wholesale selling and merchandising to eCommerce.",Product Display,,Applications (Vertical),Image,Image Generation,E-Commerce,Yes,,,,,,,,,
Lang.ai,12500000.0,"500 Global, Alumni Ventures, Village Global, Forum Ventures, Lorimer Ventures",,https://www.lang.ai/,,Chatbot/Conversational AI,Contact center / ticket prioritization,,,,,,2018,Europe,,,,,,,
LanguageTool,,,,https://languagetool.org/,,Text,Writing editor / improver,,,,,,2017,Europe,,,,,,,
Latitude/AI Dungeon,4100000.0,"NFX, NFX, Griffen, Album.vc",,https://play.aidungeon.io/main/home,,Game,Games generation,,,,,,2019,Other US,,,,,,,
Lavender,13200000.0,"Norwest Venture Partners, Arash Ferdowsi, CapitalX, Signia Venture Partners, Position Ventures",7.0,https://www.lavender.ai/,"* Lavender helps you get more replies in less time. 
- It's everything you need to personalize faster, write more impactful emails, coach, and improve.",Text,Sales email generation,Applications (Horizontal),Text,Sales / Copywriting,General,Yes,2020,"New York, NY",,,,,,,
Leonardo.Ai,,,,https://leonardo.ai/,,Game,Game asset generation,,,,,,2023,Unknown,,,,,,,
Let's Enhance,3120000.0,"Techstars, Acrobator Ventures | Acrobator.vc, Digital Future, Synetro Group, Chamaeleon",,https://letsenhance.io/,,Image,Photo enhancement,,,,,,2018,SF Bay Area,,,,,,,
Letterdrop,850000.0,Y Combinator,,https://letterdrop.com/,,Text,Marketing content operations,,,,,,2020,SF Bay Area,,,,,,,
Lex,0.0,No Data,,http://Lex.page,* Unlock your best writing,General Purpose Communication Writing,,Applications (Horizontal),Text,General Writing & Editing,General,Yes,,,,,,,,,
LEX,,Innovationsstarter,,https://lexai.co/en,,Legal,Legal summarization / search,,,,,,2021,Europe,,,,,,,
Lex.page,,,,https://lex.page/,,Text,Text generation,,,,,,2022,"Los Angeles, CA",,,,,,,
Lexata,0.0,No Data,,https://lexata.ca/,* Question answering for capital markets laws.,Search Engine,,Applications (Vertical),Text,Search,Legal,Yes,,,,,,,,,
Lexica,,,,https://lexica.art/,,Image,Image Generation,,,,,,2022,SF Bay Area,,,,,,,
LifeScore,15696768.0,"Warner Music Group, Octopus Ventures, Metaplanet Holdings, IDEO, 4-Good Ventures",,https://www.lifescoremusic.com/,,Audio,Song generation,,,,,,2016,"London, UK",,,,,,,
Lightning.ai,58600000.0,"MANTIS Venture Capital, Index Ventures, Coatue, SVA, Bain Capital Ventures",,https://lightning.ai/,,MLOps/Platform,Model development,,,,,,2019,"New York, NY",,,,,,,
Lighton,3705408.0,"Anorak Ventures, Quantonation, CEA Investissement",,https://lighton.ai/,,MLOps/Platform,NLP,,,,,,2016,Europe,,,,,,,
Lightricks,335000000.0,"Goldman Sachs, Insight Partners, Greycroft, Goldman Sachs Asset Management, Viola Ventures",,https://www.lightricks.com/,,Image,AI Image generation,,,,,,2013,Israel,,,,,,,
Linguix,1000000.0,"Antler, Flyer One Ventures, Grishin Robotics, Nitrx Capital LLC",,https://linguix.com/,,Text,Writing/Editing,,,,,,2018,"Miami, FL",,,,,,,
Listnr,30000.0,,,https://www.listnr.tech/,,Audio,Voice generation,,,,,,2020,Other US,,,,,,,
LitRPG,,,,https://www.litrpgadventures.com/,,Game,RPG Generation,,,,,,2023,Unknown,,,,,,,
Locofy,3000000000000.0,"Accel,Boldcap,Golden Gate Ventures,January Capital",11.0,www.locofy.ai,"* Turn your designs into production-ready frontend <code> for mobile apps and web
- Ship products 3-4x faster with your existing design tools, tech stacks & workflow",Figma to Code,,Applications (Horizontal),Image,Code generation & Documentation,General,Yes,,,,,,,,,
LongShot AI,100000.0,Upekkha Value SaaS Accelerator,,https://www.longshot.ai/,,Text,Blogs,,,,,,2021,Other US,,,,,,,
LoopinHQ,820000.0,"Venture Highway, First Cheque",,https://www.loopinhq.com/,,Summarization,Collaborative meeting workspace with AI meeting summaries and transcripts,,,,,,2021,"Seattle, WA",,,,,,,
LoopPanel,900000000000.0,"First Cheque,Sequoia Capital India,Speciale Invest",7.0,www.looppanel.com,"* Actionable User Insights in Minutes
- Smart transcripts. Shareable video clips. Live note-taking. Plug-and-play with Zoom.",Voice of the Customer Analysis,,Applications (Horizontal),Code,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Loora,,,,https://loora.ai/,,Chatbot/Conversational AI,English speaking coach,,,,,,2020,Israel,,,,,,,
Looria,,,,https://looria.com,,Semantic Search,Search product reviews,,,,,,2021,Europe,,,,,,,
Lovo,6850000.0,"Google for Startups, Primer Sazze Partners, Goodwater Capital, TIPS Program, Kakao Investment",,https://www.lovo.ai/,,Audio,Voiceovers,,,,,,2019,SF Bay Area,,,,,,,
Lumen5,105000.0,"Creative Destruction Lab (CDL), NEXT Canada, New Ventures BC",,https://lumen5.com/,,Video,"Text to Video, Video creation/editing",,,,,,2016,North America (excl. US),,,,,,,
Lyne.ai,,,,https://lyne.ai/,,Text,Data products / sales outreach,,,,,,2020,Other US,,,,,,,
Madgicx,14530000.0,,,https://madgicx.com/,,Text,Ad Performance,,,,,,2018,Israel,,,,,,,
Maestra,,,,https://maestrasuite.com/,,Audio,Voice transcription,,,,,,2018,"New York, NY",,,,,,,
Mage.space,,,,https://www.mage.space/,,Image,Art generation,,,,,,2019,"New York, NY",,,,,,,
Magic Copy,,,,https://magic-copy.com/,,Text,Marketing content creation,,,,,,2023,Unknown,,,,,,,
MagicEducator,0.0,,3.0,www.magiceducator.com,"* Lesson planning simplified.
- Brainstorm, find curated content and teach your lesson with an all-in-one platform.",Vertical,,Applications (Vertical),Text,General Writing & Editing,Education,Yes,,,,,,,,,
Magnifi,60880000.0,"Inflection Point Ventures, Venture Catalysts, Google for Startups, 9Unicorns Accelerator Fund, SOSV",,https://magnifi.ai/,,Video,Video editing / insights,,,,,,2017,APAC,,,,,,,
Maker AI,36360000.0,"Bossanova Investimentos, Rocket Internet, Y Combinator, HubSpot, Garage Capital",,https://maker.ai/,,Text,Free AI on-demand content writing,,,,,,2018,North America (excl. US),,,,,,,
Maket,120000.0,"Techstars, Edward Lando, Pareto Holdings, Nadav Ben-Chanoch, Front Row Ventures",,https://www.maket.ai/,,Image,Architecture planning,,,,,,2019,North America (excl. US),,,,,,,
Mana,2050595.0,"Goodwater Capital, Global Founders Capital, Flash Ventures",,http://withmana.com/,,Chatbot/Conversational AI,AI back office,,,,,,2020,"London, UK",,,,,,,
ManageBetter,0.0,No Data,,https://managebetter.com,"* One employee, one goal, one piece of feedback — in real time. 
- Management made easy. Our products help managers grow productive teams through personalized action plans, relevant career goals, and actionable feedback. ",HR,,Applications (Vertical),Text,,Human Resources,Yes,,,,,,,,,
Mantium,14500000000000.0,"Drive Capital,Top Harvest Capital",33.0,www.mantiumai.com,"* Build AI applications in minutes and manage them at scale.
- Use state of the art language models to build AI applications and automations, and manage them in our low-code cloud platform.","MLOps, Infra, & DevTools",,AI Development & Tools,General / Multi-Modal,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Mark,,,,https://www.markcopy.ai/,,Text,Content creation,,,,,,2021,Europe,,,,,,,
MarketMuse,9238000.0,"Creative Destruction Lab (CDL), Silicon Valley Bank, Panache Ventures, Riverside Company, Colle Capital Partners",,https://www.marketmuse.com/,,Text,Content creation,,,,,,2015,Other US,,,,,,,
Marqo,0.0,,6.0,www.marqo.ai,"* Search the way you think.
- An open-source tensor search framework that seamlessly integrates with your applications, websites, and workflows.",Vector Search,,AI Development & Tools,Text,Search,General,Yes,,,,,,,,,
Masterpiece Studio,6000000.0,"Boost VC, Panache Ventures, Capital Angel Network, ideaBOOST",,https://masterpiecestudio.com/,,Game,3D model generation / editing,,,,,,2016,North America (excl. US),,,,,,,
Matroid,33500000.0,"Intel Capital, New Enterprise Associates, Energize Ventures",,https://www.matroid.com/,,MLOps/Platform,Computer vision,,,,,,2016,SF Bay Area,,,,,,,
Mavenoid,39900000.0,"Creandum, Jeremy Yap, Mosaic Ventures, ABB Technology Ventures, Andreas Ehn",,https://www.mavenoid.com/en/,,Chatbot/Conversational AI,Contact Center (Hardware),,,,,,2017,Europe,,,,,,,
Maverick,2700000.0,Nick Raushenbush,,https://www.trymaverick.com/,,Video,Personalized videos for e-commerce,,,,,,2021,SF Bay Area,,,,,,,
Maya,500000.0,Y Combinator,,https://mayalabs.io/,,Code,Software generation,,,,,,2020,APAC,,,,,,,
Maya Labs,0.0,"First Cheque,India Quotient,Titan Capital,Y Combinator",8.0,www.mayalabs.io,"* Build custom software in minutes, using natural language.",Build Apps from Text Interface,,Applications (Horizontal),Code,Application Building,General,Yes,,,,,,,,,
MDClone,104000000.0,"Warburg Pincus, OrbiMed, Lightspeed Venture Partners, Viola Growth, aMoon Fund",,https://www.mdclone.com/,,Data,Healthcare / science synthetic data,,,,,,2016,Israel,,,,,,,
MDM,,,,https://arxiv.org/abs/2209.05710,,Bio,3D Bio molecule generation,,,,,,2023,Unknown,,,,,,,
Mem,29100000.0,"Andreessen Horowitz, Material V, OpenAI Startup Fund, Unusual Ventures, Shrug Capital",,https://get.mem.ai/,,Classification,Self-organizing workspace,,,,,,2021,SF Bay Area,,,,,,,
Mem.ai,5600000000000.0,"Andreessen Horowitz,Awesome People Ventures,Charlie Songhurst,Dreamers VC,Floodgate Fund,Greg Chang,Harry Stebbings,Julia Lipton,Kevin Hartz,Lenny Rachitsky,Material V,Shrug Capital,The Todd & Rahul Angel Fund,Tony Liu,Unusual Ventures",12.0,get.mem.ai,* Your team’s notes and knowledge — intelligently organized using artificial intelligence,Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Search,General,Yes,,,,,,,,,
Meta OPT,26122817488.0,"Microsoft, PayPal, General Atlantic, Tiger Global Management, Accel",,https://github.com/facebookresearch/metaseq/tree/main/projects/OPT,,Text,Text Generation,,,,,,2004,SF Bay Area,,,,,,,
MetaDialog,,,,https://metadialog.com/,,Chatbot/Conversational AI,Automated Virtual Agents,,,,,,2020,Other US,,,,,,,
Metaphor,2000000.0,"Y Combinator, Lombardstreet Ventures, FAST — by GETTYLAB, Atypical Ventures, Helium-3 Ventures",3.0,https://metaphor.systems/,"* Web search hasn't changed in 20 years. We're building a new search engine from scratch, using the same ideas behind DALL-E and Stable Diffusion. 
- It understands language — in the form of prompts — so you can say what you're looking for in all the expressive and creative ways you can think of. And, if we're lucky, it might make the internet feel a little less like a wall of ads.",Semantic Search,Video/Image Search,Applications (Horizontal),Text,Search,General,Yes,2021,"New York, NY",,,,,,,
Metaphysic,7500000.0,"8VC, Winklevoss Capital, Section 32, Logan Paul, QP Ventures",,https://metaphysic.ai/,,Video,AI generated content tools,,,,,,2021,"London, UK",,,,,,,
Midjourney,,,14.0,https://www.midjourney.com/,"* Midjourney is an independent research lab exploring new mediums of thought and expanding the imaginative powers of the human species.
- We are a small self-funded team focused on design, human infrastructure, and AI. We have 11 full-time staff and an incredible set of advisors.",Image,Research Lab,AI Development & Tools,Image,Model Development & Tools,General,Yes,2022,SF Bay Area,,,,,,,
Mindtech,10122887.0,"Appen, Deeptech Labs, NPIF – Mercia Equity Finance, In-Q-Tel",,https://www.mindtech.global/,,Data,Synthetic data generation,,,,,,2017,"London, UK",,,,,,,
Minerva Solutions,,,,https://minervasolutions.io/,,Text,Advertising for real estate,,,,,,2019,"New York, NY",,,,,,,
Mintlify,2800000.0,"Y Combinator, Bain Capital Ventures, TwentyTwo VC, Quinn Slack",3.0,https://mintlify.com//,"* Backend for World Class Documentation
- Stop wrestling with outdated documentation. Integrate documentation into your workflow to move faster as you scale",Code,Code Documentation,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,2020,"New York, NY",,,,,,,
Mirage,,"Edward Lando, Sequoia Capital, Pareto Holdings",,https://www.mirageml.com/,,Image,3D Generation,,,,,,2022,SF Bay Area,,,,,,,
MirryAI,,,,https://www.mirry.ai/main,,Data,Synthetic Data,,,,,,2021,Other US,,,,,,,
ModelMe,0.0,Entrepreneur First,5.0,www.modelme.tech,* Photo shootings in your backyard,Product Display,,Applications (Vertical),Image,Image Generation,E-Commerce,Yes,,,,,,,,,
Modyfi,0.0,Service Provider Capital,10.0,www.modyfi.io,"* Create. Together.
- The image editor you've always wanted. AI-powered creative tools in your browser. Real-time collaboration. All your assets in one place.","AI Editing for Video, Photos, and Audio",,Applications (Horizontal),Image,Image Editing,General,Yes,,,,,,,,,
Moises,10425709.0,"Alumni Ventures, Norwest Venture Partners, Goodwater Capital, Index Ventures, Monashees",,https://moises.ai/,,Audio,"Songwriting, Isolate vocals/instruments",,,,,,2019,Other US,,,,,,,
MolinAI,250000.0,,,https://molin.ai/,,Text,AI workflows in one place with SDK,,,,,,2022,"London, UK",,,,,,,
MonkeyLearn,3235000.0,"500 Global, Uncork Capital, Bling Capital, Howie Liu, Garuda Ventures",,https://monkeylearn.com/,,Sentiment Analysis,Text analysis,,,,,,2014,SF Bay Area,,,,,,,
Monterey,0.0,Y Combinator,3.0,www.monterey.ai,"* Copilot for Product Development
- Don't write another Product Requirement Document that your team will ignore anyway. Define, design, and deliver with Monterey.",Vertical,,Applications (Vertical),Text,General Writing & Editing,Enterprise,Yes,,,,,,,,,
Moonbeam,,,,https://www.gomoonbeam.com/,,Text,Writing (automated),,,,,,2022,Other US,,,,,,,
MosaicML,37000000.0,,,https://www.mosaicml.com/,,MLOps/Platform,Model development,,,,,,2021,SF Bay Area,,,,,,,
MostlyAI,31145550.0,"Earlybird Venture Capital, Molten Ventures, 42CAP, Citi Ventures, PUSH Ventures",,https://mostly.ai/,,Data,Synthetic Data generation,,,,,,2017,Europe,,,,,,,
Motorica AB,450000.0,,,https://www.motorica.ai/home,,Game,AI character animation,,,,,,2020,Europe,,,,,,,
Moveworks,305000000.0,"Tiger Global Management, Lightspeed Venture Partners, Sapphire Ventures, Bain Capital, Bain Capital Ventures",,https://moveworks.com,,Chatbot/Conversational AI,AI-based employee support,,,,,,2016,SF Bay Area,,,,,,,
Mubert,2200000.0,"AltaIR Capital, IT-Farm, FunCubator, LVL1 Group, GVA Capital",,https://mubert.com/,,Audio,Song generation,,,,,,2017,Other US,,,,,,,
Munch,1930000.0,"Remagine Ventures, Amir Shevat, Cardumen Capital, Ron Levy, Nuseir Yassin",6.0,https://www.getmunch.com/,"* Go Viral Using Your Existing Content. Automatically.
- Munch allows you to create once. Repurpose to Dozens of pieces on every platform. Analyze engagement. Control Monetization. All On One Platform.",Video,automated video highlights and overlays,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,2021,Israel,,,,,,,
Murf,11500000.0,"Elevation Capital, Vidit Aatrey, Matrix Partners India, Ankit Bhati, Ashish Goel",,https://murf.ai/,,Audio,Text to Speech,,,,,,2020,Other US,,,,,,,
Murf.Ai,11500000000000.0,"Ajay Arora,Ankit Bhati,Ashish Goel,Ashwini Ashokan,Elevation Capital,Kashyap Deorahe,Matrix Partners India,Pushkar Mukevar,Sanjeev Barnwal,Vidit Aatrey,Yamini Bhat",31.0,www.murf.ai,"* Go from text to speech with a versatile AI voice generator
- AI enabled, real people's voices
- Make studio-quality voice overs in minutes. Use Murf’s lifelike AI voices for podcasts, videos, and all your professional presentations",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Musico,,,,https://www.musi-co.com/,,Audio,Song generation,,,,,,2019,Europe,,,,,,,
Mutable.ai,0.0,No Data,,www.Mutable.ai,AI Accelerated software development,"MLOps, Infra, & DevTools",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
MutableAI,130000.0,Y Combinator,,https://mutable.ai/,,Code,Code Generation / Quality,,,,,,2021,Other US,,,,,,,
Mutiny,71620000.0,"Sequoia Capital, Y Combinator, Tiger Global Management, Insight Partners, Hack VC",,http://www.mutinyhq.com/,,Text,Marketing / Personalized websites,,,,,,2018,SF Bay Area,,,,,,,
Myth.Ai,200000.0,"Keiretsu Forum, Türk Telekom, ITUARI Teknokent, Ahmet Firat, Umit Arsoy",,https://www.myth-ai.com/,,Image,Pattern design generation,,,,,,2020,MENA,,,,,,,
