Company Name,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,
Glasp,"$500,000",,,https://glasp.co/,,Summarization,Note summarization / annotation,,,,,,,SF Bay Area,,,,,,,
Glean,"$156,000,000 ","General Catalyst,Kleiner Perkins,Lightspeed Venture Partners,Sequoia Capital,Slack Fund",200,www.glean.com,"* Know what your company knows, instantly.
- Glean searches across all your company's apps to help you find exactly what you need and discover the things you should know.",Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Glean,"$155,000,000","Sequoia Capital, General Catalyst, Lightspeed Venture Partners, Kleiner Perkins, Slack Fund",,https://www.glean.com/,,Semantic Search,Knowledge,,,,,,,SF Bay Area,,,,,,,
Glimmer AI,,,,https://glimmerai.tech/,,MLOps/Platform,Presentation generation,,,,,,,Other US,,,,,,,
Glimpse.ai,,,,https://www.glimpse.ai/,,Text,Natural Langauge Generation,,,,,,,Other US,,,,,,,
GlossAI,"$8,000,000","MindCET, Maccabee Ventures, 97212 Ventures, New Era Capital Partners, Rafi Gidron",,https://glossai.co/,,Video,Automatic video highlights,,,,,,,Israel,,,,,,,
GoatChat,"$1,000,000",500 Global,,https://goatchat.ai/,,Chatbot/Conversational AI,Any AI Model accessed on Mobile,,,,,,,Other US,,,,,,,
GoCharlie,"$1,262,500","Alchemist Accelerator, Goodwater Capital, XRC Ventures, SRI International",,https://gocharlie.ai/,,Text,Marketing content creation,,,,,,,SF Bay Area,,,,,,,
Gooey.ai,,"Blume Ventures, Techstars",,https://www.gooey.ai/,,MLOps/Platform,Image Generation,,,,,,,"Seattle, WA",,,,,,,
Grammarly,"$400,000,000","General Catalyst, BlackRock, Baillie Gifford, Breyer Capital, Sozo Ventures",,https://www.grammarly.com/,,Text,Writing/Editing,,,,,,,SF Bay Area,,,,,,,
Gretel,"$67,700,000 ","Anthos Capital,Greylock Partners,Jonathan Swanson,Moonshots Capital,Section 32,Village Global",48,www.gretel.ai,"* The Developer Stack for Synthetic Data.
- Power AI, Data Science, Testing, Analytics and More.
- Synthetic data that’s as good, or even better than the data you have. Or don’t have. Create and share data with the best-in-class accuracy and privacy guarantees – on demand.","MLOps, Infra, & DevTools",,AI Development & Tools,,Data Management,General,Yes,,,,,,,,,
Gretel,"$67,699,996","Village Capital, Village Global, Greylock, Section 32, Anthos Capital",,https://gretel.ai/,,Data,Synthetic data generation,,,,,,,"San Diego, CA",,,,,,,
Growth Marketing Pro,,,,https://www.growthmarketingpro.com/,,Text,Growth Marketing / SEO Content generation,,,,,,,SF Bay Area,,,,,,,
Hally AI,,,,https://hally.ai/,,Text,Recruitment task admin & content generation,,,,,,,"London, UK",,,,,,,
Harmonai,"$500,000","Alchemist Accelerator, Emerging Ventures, IU Ventures",,https://www.harmonai.org/,,Audio,Audio generation,,,,,,,Other US,,,,,,,
Harvey,$0 ,"Elad Gil,Jeff Dean,OpenAI,Sarah Guo",,www.harvey.ai,AI for law firms,Vertical,,Applications (Vertical),Text,General Writing & Editing,Legal,Yes,,,,,,,,,
Harvey,"$26,000,000","Sequoia Capital, Elad Gil, SVA, OpenAI Startup Fund, Conviction VC",,https://harvey.ai/,,Legal,Legal text generation,,,,,,,SF Bay Area,,,,,,,
Hazy,"$14,778,644","Wells Fargo, Ascension, Nationwide Building Society, M12 - Microsoft's Venture Fund, Amadeus Capital Partners",,https://hazy.com/,,Data,Finance synthetic data,,,,,,,"London, UK",,,,,,,
Headlime,,,,https://headlime.com/,,Text,Marketing copywriting,,,,,,,Europe,,,,,,,
Hebbia,"$31,100,000","Index Ventures, Peter Thiel, Radical Ventures, Naval Ravikant, Abstract Ventures",,hebbia.ai,,Semantic Search,Personal AI Analyst,,,,,,,"New York, NY",,,,,,,
Hebbia.ai,"$28,100,000 ","Chih-Yuan Yang,Cory Levy,Floodgate Fund,Human Capital,Index Ventures,Kevin Hartz,Michael Fertik,Naval Ravikant,Peter Thiel,Radical Ventures,Ram Shriram",15,www.hebbia.ai,"* Search, reinvented.
- Make decisions 10X more confidently and quickly with AI-powered insights.",Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Here Be Taverns,,,,https://www.herebetaverns.com/,,Game,Gaming world generation,,,,,,,Unknown,,,,,,,
Hexo,"$270,000",Antler India,,https://hexo.ai/,,Image,Custom image generation,,,,,,,APAC,,,,,,,
HeyGen,"$9,000,000","Sequoia Capital China, IDG Capital, Baidu Ventures",,https://www.heygen.com/,,Video,Text to Video,,,,,,,"Los Angeles, CA",,,,,,,
hi4.ai,,,,https://hi4.ai/,,Classification,Data labeling/tagging,,,,,,,Israel,,,,,,,
HIPSTO,"$3,000,000",,,https://hipsto.ai/,,Text,AI Knowledge Discovery Platform,,,,,,,Europe,,,,,,,
Hour One,"$26,000,000 ","Amaranthine,Cerca Partners,Digital Horizon,Eynat Guez,Galaxy Interactive (New York),Gemini Capital,Insight Partners,Intel Ignite,Kindred Ventures,Remagine Ventures",29,www.hourone.ai,"* We turn text into video, featuring virtual humans, automatically. 
- Humanize your content at scale. Boost your content creation by converting text into highly engaging videos within minutes.",Synthetic Talking Heads,,Applications (Horizontal),Video,Avatars,General,Yes,,,,,,,,,
Hour One,"$25,000,000","Insight Partners, Intel Ignite, Remagine Ventures, Digital Horizon, Galaxy Interactive",,https://hourone.ai/,,Video,Text to Video,,,,,,,Israel,,,,,,,
Hugging Face,"$160,200,000","Sequoia Capital, Betaworks, Coatue, SVA, Charles Zedlewski",,https://huggingface.co/,,MLOps/Platform,ML Models,,,,,,,"New York, NY",,,,,,,
HuggingFace,"$164,900,000 ","A.Capital Ventures,Addition,AIX Ventures,Alex Wang,Augusto Marietti,Betaworks,Betaworks Ventures,Brandon Reeves,Coatue Management,Damien Gosset,Dev Ittycheria,Edouard Rosenblum,Florian Douetteau,Greg Brockman,Kevin Durant,Lee Fixel,Lux Capital,Matthieu Vaxelaire,Olivier Pomel,Paul St. John,Rich Kleiman,Richard Socher,Ronny Conway,Sequoia Capital,Sequoia Real Estate Partners,SV Angel,Terrence Rohan,The Chernin Group,Thibaud Elziere,Thirtyfive Ventures",163,www.huggingface.co,"* The AI community building the future.
- Build, train and deploy state of the art models powered by the reference open source in machine learning.","MLOps, Infra, & DevTools",,AI Development & Tools,General / Multi-Modal,Model Development & Tools,General,Yes,,,,,,,,,
HumanLoop,"$2,900,000 ","AlbionVC,Index Ventures,Phoenix Court,UCL Technology Fund,Y Combinator",6,www.humanloop.com,"* Make GPT–3 faster, cheaper, more effective
- Find the prompts users love and fine-tune custom models for higher performance at lower cost","MLOps, Infra, & DevTools",,AI Development & Tools,,Model Development & Tools,General,Yes,,,,,,,,,
Humanloop,"$2,725,000","Y Combinator, Index Ventures, Gerald Parloiu, Raphael Danilo, UCL Technology Fund",,https://humanloop.com/,,MLOps/Platform,Model development,,,,,,,"London, UK",,,,,,,
Hypar,"$2,480,000",Building Ventures,,https://hypar.io/,,Image,Architecture design,,,,,,,"Los Angeles, CA",,,,,,,
Hypertype,"$1,499,749","Antler, Sting, Luminar Ventures, Propel Capital, Plug & Play Mexico",,https://hypertype.co/,,Text,Email generation,,,,,,,Europe,,,,,,,
Hypotenuse AI,"$125,000","Y Combinator, CABRA VC, Nick Raushenbush",,https://www.hypotenuse.ai/,,Text,AI Content,,,,,,,SF Bay Area,,,,,,,
Hypothetic,"$4,505,000",Trevor Wright,,https://www.hypothetic.art/,,Game,3D art creation and asset management,,,,,,,"Los Angeles, CA",,,,,,,
iGenius,"$32,830,752","BlackSheep Ventures, NovaCapital",,https://www.igenius.ai/,,Chatbot/Conversational AI,Data analysis / science automation,,,,,,,Europe,,,,,,,
Imagen,"$34,000,000","NFX, Summit Partners, NFX",,https://imagen-ai.com/,,Image,Photo editing / profile picture generation,,,,,,,Israel,,,,,,,
Incentivai,"$120,000",Y Combinator,,https://www.incentivai.co/,,Chatbot/Conversational AI,Automated Virtual Agents,,,,,,,SF Bay Area,,,,,,,
Infinitus,"$51,400,000","Google Ventures, Coatue, Gradient Ventures, Firebolt Ventures, Quiet Capital",,https://infinitus.ai/,,Chatbot/Conversational AI,Healthcare Conversational AI,,,,,,,SF Bay Area,,,,,,,
Inflection,"$265,000,000 ",Greylock Partners,9,www.inflection.ai,"Developer of artificial intelligence (AI) platform designed to improve human-computer interaction. The company's platform addresses the problem"" that humans need to simplify the requests they make to computers and adjust the language to fit what machines can understand, enabling clients to have a seamless experience in understanding machine language",Natural Language Frontends,,Applications (Horizontal),Text,Chat / Conversational,General,Yes,,,,,,,,,
Inflection AI,"$225,000,000",,,inflection.ai,,MLOps/Platform,cross-industry generative interfaces,,,,,,,SF Bay Area,,,,,,,
Ingest AI,,,,https://ingestai.io/,,Text,"Turn your docs, wikis, and spreadsheets into a ChatGPT-like context-aware chatbot",,,,,,,Other US,,,,,,,
INK,,,,https://inkforall.com/,,Text,NLO / content generation,,,,,,,Other US,,,,,,,
Insilico,"$401,300,000","Deerfield, Warburg Pincus, WuXi AppTec, OrbiMed, Juvenescence",,https://insilico.com/,,Bio,Protein & drug design,,,,,,,APAC,,,,,,,
InstaDeep,"$107,000,000","Google, BioNTech, G42, Bossanova Investimentos, AfricInvest",,http://instadeep.com,,MLOps/Platform,industry-specific generative applications,,,,,,,"London, UK",,,,,,,
Instoried,"$42,900,000 ","9Unicorns,Artesian Capital Management,Axilor Ventures,Dan Lok Ventures,Expert DOJO,Faad Network,IIIT-H Foundation,JITO Angel Network,JPIN,Kia Ora Ventures,Lead Angels,MAVM Angels Network,Orbit Startups,Pritt Investment Partners,Rockstud Capital,SOSV,Start-Up Chile,The CoWrks Foundry,Venture Catalysts (Mumbai),Windrose Capital (Pune)",40,www.instoried.com,"* Enhance your content writing experience with instoried.
- Analyze the tones and emotions present in your text. Get recommendations for adding empathy to your content.",Generation for Copywriters & SMB Marketers,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
Instoried,"$219,500,000","Venture Catalysts, 9Unicorns Accelerator Fund, EXPERT DOJO, SOSV, Artesian VC",,https://instoried.com/,,Text,Text generation,,,,,,,APAC,,,,,,,
Intento,"$10,649,998","Berkeley SkyDeck Fund, SkyDeck Berkeley, Amadeo Global, SmartHub, Davidovs Venture Collective (DVC)",,https://inten.to/,,Text,Content Translation,,,,,,,SF Bay Area,,,,,,,
Interior AI,,,,https://interiorai.com/,,Image,Interior Design,,,,,,,Europe,,,,,,,
InteriorAI,$0 ,No Data,,www.interiorai.com,* Interior design and virtual staging by AI,Vertical,,Applications (Vertical),3D,Asset Generation,Construction & Architecture,Yes,,,,,,,,,
Inventurist,"$500,000",,,https://www.inventurist.ai/,,Text,Market research,,,,,,,SF Bay Area,,,,,,,
InVideo,"$52,500,000","Tiger Global Management, Lightspeed Venture Partners, RTP Global, Blume Ventures, Omidyar Network",,https://invideo.io/,,Video,"Text to Video, Video creation/editing",,,,,,,APAC,,,,,,,
Inworld,"$69,700,000","Meta, Intel Capital, Founders Fund, BITKRAFT Ventures, HTC",,https://www.inworld.ai/,,Avatars,NPC's for games,,,,,,,SF Bay Area,,,,,,,
Iterative.ai,"$25,400,000","True Ventures, 468 Capital, Afore Capital, Ihar Mahaniok",,https://iterative.ai/,,MLOps/Platform,Model development,,,,,,,SF Bay Area,,,,,,,
Jasper,"$146,700,000 ","Bessemer Venture Partners,Coatue Management,Foundation Capital,Founders Circle Capital,G Ventures (VC),Hack VC,HubSpot Ventures,Insight Partners,IVP,Liquid 2 Ventures,Y Combinator,Z Nation Lab",174,www.jasper.ai,"* Meet Jasper, The Future of Writing
- Artificial intelligence makes it fast & easy to create content for your blog, social media, website, and more! Rated 5/5 stars in 3,000+ reviews.",Generation for Copywriters & SMB Marketers,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
Jasper.ai,"$131,037,766","Bossanova Investimentos, Insight Partners, Bessemer Venture Partners, Coatue, IVP",,https://www.jasper.ai/,,Text,Content/Marketing,,,,,,,North America (excl. US),,,,,,,
Jenni,"$250,000",Antler,,https://jenni.ai/,,Text,Text generation (AI writer),,,,,,,APAC,,,,,,,
Jina.ai,"$37,200,000 ","Canaan Partners,GGV Capital,Mango Capital (Venture Capital),SAP.iO,Yunqi Partners",,www.jina.ai,"* The most advanced MLOps platform for multimodal AI
- Build neural search, creative AI and multimodal data services on the cloud at scale.","MLOps, Infra, & DevTools",,AI Development & Tools,General / Multi-Modal,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Jio Haptik,"$12,200,000","Kalaari Capital, Times Internet, Vivek Kumar",,https://www.haptik.ai/,,Chatbot/Conversational AI,Automated Virtual Agents,,,,,,,APAC,,,,,,,
Kadoa,,,,https://www.kadoa.co/,,Text,Data Extraction with generative AI,,,,,,,Europe,,,,,,,
Kaedim,"$203,561","Mandeep Singh, Matt Robinson, Tom Blomfield, Chris Kingsley",,https://www.kaedim3d.com/,,Image,2D to 3D image generation,,,,,,,"London, UK",,,,,,,
Kafkai,,,,https://kafkai.com/,,Text,Marketing content creation,,,,,,,APAC,,,,,,,
Kai,,,,https://kai.ai/,,Chatbot/Conversational AI,AI well-being companion,,,,,,,Israel,,,,,,,
Kaizan,"$1,200,000 ","Charlotte Street Capital,Founders Factory,Jigsaw VC",9,kaizan.ai,"* Scale your clients faster with Kaizan
- Kaizan automates your tasks using conversation intelligence and highlights what will increase client success and revenue.",Vertical,,Applications (Vertical),Text,Customer support / Knowledge Management,Enterprise,Yes,,,,,,,,,
Kaizan,"$1,152,071","Entrepreneur First, Ledger, Founders Factory, Silicon Roundabout Ventures, IPONWEB",,https://kaizan.ai/,,Audio,Contact center / customer support,,,,,,,"London, UK",,,,,,,
Kalendar AI,"$3,200,000 ","500 Global,Asymmetry Ventures,Boost VC,Green Meadow Ventures,Metaplanet Holdings,Tim Mayeur",10,www.kalendar.ai,Book new revenue on autopilot with AI. Kalendar AI set up meetings with your predictive next customers from 340m+ ideal profiles. ,Sales Tools,,Applications (Vertical),Text,Sales / Copywriting,Marketing,Yes,,,,,,,,,
Kamua,"$475,000","Albert Armengol, Scott Cohen",,https://kamua.com/,,Video,Video editing / repurposing,,,,,,,"London, UK",,,,,,,
Kartiv,,,,https://www.kartiv.com/,,Image,AI generated ad creatives,,,,,,,Unknown,,,,,,,
Kasisto,"$81,450,000","FIS, NCR, Mastercard, Oak HC/FT, Commerce Ventures",,https://kasisto.com/,,Chatbot/Conversational AI,Customer support,,,,,,,"New York, NY",,,,,,,
K-Explorer ,$0 ,No Data,,,"* Your AI Dev Buddy
- A search code engine and code assist that sharpens developer’s productivity.","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Keys,"$700,000","Techstars, Asymmetry Ventures, Everywhere Ventures (The Fund), CapitalX, Frontier Angels",,https://www.thekeys.ai/,,Chatbot/Conversational AI,Text generation,,,,,,,Other US,,,,,,,
Kiliba,"$7,056,537","Edward Lando, FrenchFounders, Pareto Holdings, Otium Capital, Thibaud Hug de Larauze",,https://kiliba.com//,,Data,E-commerce marketing,,,,,,,Europe,,,,,,,
Kinetix,"$11,000,000","Animoca Brands, Entrepreneur First, NAVER Z, The Sandbox, Sparkle Ventures",,https://kinetix.tech/,,Video,3D content generation from video,,,,,,,Europe,,,,,,,
Kirin,"$300,000",Johnney Zhang,,https://www.kirin.org/,,Game,3D model geneartion,,,,,,,"Los Angeles, CA",,,,,,,
Kite,"$27,100,000 ","AAF Management,Andrew Houston,Caffeinated Capital,Chapter One Ventures,East Ventures,Emmett Shear,Hyperplane Venture Capital,Joseph Lonsdale,Joshua Reeves,Kevin Moore,Kyle Vogt,Lee Linden,M12,Manish Lachwani,Matthew Mullenweg,Max Levchin,Nat Friedman,Oyster Ventures,Pillar VC,Seed Group,SV Angel,The Private Office (Dubai),Trinity Ventures,TSVC,Wayne Chang",28,www.kite.com,"* Code Faster. Stay in Flow.
- Kite adds AI powered code completions to your code editor, giving developers superpowers.","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Koalluh,"$100,000",,,http://koalluh.com/,,Text,Story creation for kids,,,,,,,Other US,,,,,,,
KREA,"$2,320,000","Asymmetry Ventures, Cassis & Cassis Capital, Corner3, Datapower Ventures, DayDreams Ventures, DCA Asset Management, FirstMile Ventures, Kickstart Seed Fund, Moontide Capital, Service Provider Capital, Techstars, The Fund",,https://www.krea.ai/,,Image,Art generation,,,,,,,"Miami, FL",,,,,,,
Krisp,"$17,500,000","Sierra Ventures, RTP Global, s16vc, Berkeley SkyDeck Fund, TechNexus Venture Collaborative",,https://krisp.ai/,,Audio,Audio quality / sound extraction,,,,,,,SF Bay Area,,,,,,,
LALAL,,,,https://www.lalal.ai/,,Audio,Audio quality,,,,,,,Europe,,,,,,,
Lalaland,"$2,551,073","Google for Startups, ASIF Ventures, Innovatiefonds Noord-Holland, Unknown Group, ACE Incubator",,https://lalaland.ai/,,Avatars,Digital avatar models,,,,,,,Europe,,,,,,,
Lalaland.ai,"$3,100,000 ","ACE Venture Lab,Amhar Ford,ASIF Ventures,Bart Wilde,Christina Caljé,Google for Startups,Orange Wings Capital,Thorsten Koch,Unknown Group,Utrechtinc",12,www.lalaland.ai,"* No more photoshoots - With digital avatars, apparel companies can showcase and validate 3D garment designs. Visualize ODM end-to-end from the earliest stages of design and development, wholesale selling and merchandising to eCommerce.",Product Display,,Applications (Vertical),Image,Image Generation,E-Commerce,Yes,,,,,,,,,
Lang.ai,"$12,500,000","500 Global, Alumni Ventures, Village Global, Forum Ventures, Lorimer Ventures",,https://www.lang.ai/,,Chatbot/Conversational AI,Contact center / ticket prioritization,,,,,,,Europe,,,,,,,
LanguageTool,,,,https://languagetool.org/,,Text,Writing editor / improver,,,,,,,Europe,,,,,,,
Latitude/AI Dungeon,"$4,100,000","NFX, NFX, Griffen, Album.vc",,https://play.aidungeon.io/main/home,,Game,Games generation,,,,,,,Other US,,,,,,,
Lavender,$0 ,"Aneil Johal,Asymmetric Capital Partners,Christopher Wheeler,Ganesh Ramakrishnan,Troy Osinoff",7,www.lavender.ai,"* Lavender helps you get more replies in less time. 
- It's everything you need to personalize faster, write more impactful emails, coach, and improve.",Sales Tools,,Applications (Horizontal),Text,Sales / Copywriting,General,Yes,,,,,,,,,
Lavender,"$13,200,000","Norwest Venture Partners, Arash Ferdowsi, CapitalX, Signia Venture Partners, Position Ventures",,https://www.lavender.ai/,,Text,Sales email generation,,,,,,,"New York, NY",,,,,,,
Leonardo.Ai,,,,https://leonardo.ai/,,Game,Game asset generation,,,,,,,Unknown,,,,,,,
Let's Enhance,"$3,120,000","Techstars, Acrobator Ventures | Acrobator.vc, Digital Future, Synetro Group, Chamaeleon",,https://letsenhance.io/,,Image,Photo enhancement,,,,,,,SF Bay Area,,,,,,,
Letterdrop,"$850,000",Y Combinator,,https://letterdrop.com/,,Text,Marketing content operations,,,,,,,SF Bay Area,,,,,,,
Lex,$0 ,No Data,,http://Lex.page,* Unlock your best writing,General Purpose Communication Writing,,Applications (Horizontal),Text,General Writing & Editing,General,Yes,,,,,,,,,
LEX,,Innovationsstarter,,https://lexai.co/en,,Legal,Legal summarization / search,,,,,,,Europe,,,,,,,
Lex.page,,,,https://lex.page/,,Text,Text generation,,,,,,,"Los Angeles, CA",,,,,,,
Lexata,$0 ,No Data,,https://lexata.ca/,* Question answering for capital markets laws.,Search Engine,,Applications (Vertical),Text,Search,Legal,Yes,,,,,,,,,
Lexica,,,,https://lexica.art/,,Image,Image Generation,,,,,,,SF Bay Area,,,,,,,
LifeScore,"$15,696,768","Warner Music Group, Octopus Ventures, Metaplanet Holdings, IDEO, 4-Good Ventures",,https://www.lifescoremusic.com/,,Audio,Song generation,,,,,,,"London, UK",,,,,,,
Lightning.ai,"$58,600,000","MANTIS Venture Capital, Index Ventures, Coatue, SVA, Bain Capital Ventures",,https://lightning.ai/,,MLOps/Platform,Model development,,,,,,,"New York, NY",,,,,,,
Lighton,"$3,705,408","Anorak Ventures, Quantonation, CEA Investissement",,https://lighton.ai/,,MLOps/Platform,NLP,,,,,,,Europe,,,,,,,
Lightricks,"$335,000,000","Goldman Sachs, Insight Partners, Greycroft, Goldman Sachs Asset Management, Viola Ventures",,https://www.lightricks.com/,,Image,AI Image generation,,,,,,,Israel,,,,,,,
Linguix,"$1,000,000","Antler, Flyer One Ventures, Grishin Robotics, Nitrx Capital LLC",,https://linguix.com/,,Text,Writing/Editing,,,,,,,"Miami, FL",,,,,,,
Listnr,"$30,000",,,https://www.listnr.tech/,,Audio,Voice generation,,,,,,,Other US,,,,,,,
LitRPG,,,,https://www.litrpgadventures.com/,,Game,RPG Generation,,,,,,,Unknown,,,,,,,
Locofy,"$3,000,000 ","Accel,Boldcap,Golden Gate Ventures,January Capital",11,www.locofy.ai,"* Turn your designs into production-ready frontend <code> for mobile apps and web
- Ship products 3-4x faster with your existing design tools, tech stacks & workflow",Figma to Code,,Applications (Horizontal),Image,Code generation & Documentation,General,Yes,,,,,,,,,
LongShot AI,"$100,000",Upekkha Value SaaS Accelerator,,https://www.longshot.ai/,,Text,Blogs,,,,,,,Other US,,,,,,,
LoopinHQ,"$820,000","Venture Highway, First Cheque",,https://www.loopinhq.com/,,Summarization,Collaborative meeting workspace with AI meeting summaries and transcripts,,,,,,,"Seattle, WA",,,,,,,
LoopPanel,"$900,000 ","First Cheque,Sequoia Capital India,Speciale Invest",7,www.looppanel.com,"* Actionable User Insights in Minutes
- Smart transcripts. Shareable video clips. Live note-taking. Plug-and-play with Zoom.",Voice of the Customer Analysis,,Applications (Horizontal),Code,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Loora,,,,https://loora.ai/,,Chatbot/Conversational AI,English speaking coach,,,,,,,Israel,,,,,,,
Looria,,,,https://looria.com,,Semantic Search,Search product reviews,,,,,,,Europe,,,,,,,
Lovo,"$6,850,000","Google for Startups, Primer Sazze Partners, Goodwater Capital, TIPS Program, Kakao Investment",,https://www.lovo.ai/,,Audio,Voiceovers,,,,,,,SF Bay Area,,,,,,,
Lumen5,"$105,000","Creative Destruction Lab (CDL), NEXT Canada, New Ventures BC",,https://lumen5.com/,,Video,"Text to Video, Video creation/editing",,,,,,,North America (excl. US),,,,,,,
Lyne.ai,,,,https://lyne.ai/,,Text,Data products / sales outreach,,,,,,,Other US,,,,,,,
Madgicx,"$14,530,000",,,https://madgicx.com/,,Text,Ad Performance,,,,,,,Israel,,,,,,,
Maestra,,,,https://maestrasuite.com/,,Audio,Voice transcription,,,,,,,"New York, NY",,,,,,,
Mage.space,,,,https://www.mage.space/,,Image,Art generation,,,,,,,"New York, NY",,,,,,,
Magic Copy,,,,https://magic-copy.com/,,Text,Marketing content creation,,,,,,,Unknown,,,,,,,
MagicEducator,$0 ,,3,www.magiceducator.com,"* Lesson planning simplified.
- Brainstorm, find curated content and teach your lesson with an all-in-one platform.",Vertical,,Applications (Vertical),Text,General Writing & Editing,Education,Yes,,,,,,,,,
Magnifi,"$60,880,000","Inflection Point Ventures, Venture Catalysts, Google for Startups, 9Unicorns Accelerator Fund, SOSV",,https://magnifi.ai/,,Video,Video editing / insights,,,,,,,APAC,,,,,,,
Maker AI,"$36,360,000","Bossanova Investimentos, Rocket Internet, Y Combinator, HubSpot, Garage Capital",,https://maker.ai/,,Text,Free AI on-demand content writing,,,,,,,North America (excl. US),,,,,,,
Maket,"$120,000","Techstars, Edward Lando, Pareto Holdings, Nadav Ben-Chanoch, Front Row Ventures",,https://www.maket.ai/,,Image,Architecture planning,,,,,,,North America (excl. US),,,,,,,
Mana,"$2,050,595","Goodwater Capital, Global Founders Capital, Flash Ventures",,http://withmana.com/,,Chatbot/Conversational AI,AI back office,,,,,,,"London, UK",,,,,,,
ManageBetter,$0 ,No Data,,https://managebetter.com,"* One employee, one goal, one piece of feedback — in real time. 
- Management made easy. Our products help managers grow productive teams through personalized action plans, relevant career goals, and actionable feedback. ",HR,,Applications (Vertical),Text,,Human Resources,Yes,,,,,,,,,
Mantium,"$14,500,000 ","Drive Capital,Top Harvest Capital",33,www.mantiumai.com,"* Build AI applications in minutes and manage them at scale.
- Use state of the art language models to build AI applications and automations, and manage them in our low-code cloud platform.","MLOps, Infra, & DevTools",,AI Development & Tools,General / Multi-Modal,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Mark,,,,https://www.markcopy.ai/,,Text,Content creation,,,,,,,Europe,,,,,,,
MarketMuse,"$9,238,000","Creative Destruction Lab (CDL), Silicon Valley Bank, Panache Ventures, Riverside Company, Colle Capital Partners",,https://www.marketmuse.com/,,Text,Content creation,,,,,,,Other US,,,,,,,
Marqo,$0 ,,6,www.marqo.ai,"* Search the way you think.
- An open-source tensor search framework that seamlessly integrates with your applications, websites, and workflows.",Vector Search,,AI Development & Tools,Text,Search,General,Yes,,,,,,,,,
Masterpiece Studio,"$6,000,000","Boost VC, Panache Ventures, Capital Angel Network, ideaBOOST",,https://masterpiecestudio.com/,,Game,3D model generation / editing,,,,,,,North America (excl. US),,,,,,,
Matroid,"$33,500,000","Intel Capital, New Enterprise Associates, Energize Ventures",,https://www.matroid.com/,,MLOps/Platform,Computer vision,,,,,,,SF Bay Area,,,,,,,
Mavenoid,"$39,900,000","Creandum, Jeremy Yap, Mosaic Ventures, ABB Technology Ventures, Andreas Ehn",,https://www.mavenoid.com/en/,,Chatbot/Conversational AI,Contact Center (Hardware),,,,,,,Europe,,,,,,,
Maverick,"$2,700,000",Nick Raushenbush,,https://www.trymaverick.com/,,Video,Personalized videos for e-commerce,,,,,,,SF Bay Area,,,,,,,
Maya,"$500,000",Y Combinator,,https://mayalabs.io/,,Code,Software generation,,,,,,,APAC,,,,,,,
Maya Labs,$0 ,"First Cheque,India Quotient,Titan Capital,Y Combinator",8,www.mayalabs.io,"* Build custom software in minutes, using natural language.",Build Apps from Text Interface,,Applications (Horizontal),Code,Application Building,General,Yes,,,,,,,,,
MDClone,"$104,000,000","Warburg Pincus, OrbiMed, Lightspeed Venture Partners, Viola Growth, aMoon Fund",,https://www.mdclone.com/,,Data,Healthcare / science synthetic data,,,,,,,Israel,,,,,,,
MDM,,,,https://arxiv.org/abs/2209.05710,,Bio,3D Bio molecule generation,,,,,,,Unknown,,,,,,,
Mem,"$29,100,000","Andreessen Horowitz, Material V, OpenAI Startup Fund, Unusual Ventures, Shrug Capital",,https://get.mem.ai/,,Classification,Self-organizing workspace,,,,,,,SF Bay Area,,,,,,,
Mem.ai,"$5,600,000 ","Andreessen Horowitz,Awesome People Ventures,Charlie Songhurst,Dreamers VC,Floodgate Fund,Greg Chang,Harry Stebbings,Julia Lipton,Kevin Hartz,Lenny Rachitsky,Material V,Shrug Capital,The Todd & Rahul Angel Fund,Tony Liu,Unusual Ventures",12,get.mem.ai,* Your team’s notes and knowledge — intelligently organized using artificial intelligence,Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Search,General,Yes,,,,,,,,,
Mesolitica,"$12,000",Angel,,https://mesolitica.com/,,Chatbot/Conversational AI,Narrow AIs for Malay language,,,,,,,APAC,,,,,,,
Mesolitica,"$11,000","WatchTower and Friends (WTF), pitchIN",,https://mesolitica.com/,,Chatbot/Conversational AI,ChatGPT for enteprise,,,,,,,APAC,,,,,,,
Meta OPT,"$26,122,817,488","Microsoft, PayPal, General Atlantic, Tiger Global Management, Accel",,https://github.com/facebookresearch/metaseq/tree/main/projects/OPT,,Text,Text Generation,,,,,,,SF Bay Area,,,,,,,
